,긍정단어,실제 리뷰 평가(긍정),부정단어,실제 리뷰 평가(부정)
0,압도,3,부각,-2
1,다행,1,자꾸,-1
2,완젼,3,환불,-3
3,다른,1,살바,-2
4,정말,3,한철,-1
5,매우,3,오염,-3
6,성공,3,심해,-3
7,번창,2,실망,-3
8,핏도좋,2,구김,-2
9,평상복,1,짜증,-3
10,이쁜핏,3,싼마이,-2
11,힙하,2,흐믈거리,-1
12,감동,3,의문,-1
13,힙해,2,별로,-2
14,양호,1,잘못,-2
15,나름,1,쪼금,-1
16,헤헤,1,불가능,-3
17,갑인,2,흐물흐물,-1
18,심플,1,꼬툭튀,-3
19,짱짱,3,냄새,-2
20,쫀쫀,2,감안,-1
21,예술,3,홀렁해,-1
22,애용,3,빡빡,-1
23,자주,3,항의,-3
24,가장,2,개선,-2
25,실용,2,얼룩,-3
26,쟁여놓,2,헐렁거리,-2
27,진작,1,당황,-3
28,괜찬아,1,포기,-2
29,추천,3,헐랭,-3
30,존예,3,왜케,-1
31,듭니당,2,실패,-3
32,맘에듬,3,타이트,-2
33,용이,2,이상하,-2
34,어울림,2,후회,-3
35,편안,2,튀어,-1
36,매일,3,다만,-1
37,감사,2,굳이,-1
38,이뻐욤,3,줄엇어,-1
39,핏좋,2,제발,-1
40,강추,3,달라,-1
41,제격,3,감수,-1
42,제법,2,먼지,-3
43,좋슴다,3,헐렁,-2
44,후뚜루,2,충격,-3
45,여기저기,2,별루,-3
46,따땃,2,쪼매,-1
47,아주,3,절대,-3
48,쟁여두,2,엉망,-3
49,오래오래,2,조심,-2
50,기본,1,무거,-1
51,휘뚤마뚤,3,다소,-1
52,와우,3,전혀,-1
53,널널해,2,줄어듬,-2
54,꾸안꾸룩,2,줄줄,-2
55,평소,1,최악,-3
56,진짜진짜,3,쪼끔,-1
57,인기,2,신경,-1
58,이픕니,3,환자복,-3
59,무척,3,빳빳해,-2
60,매력,2,주의,-3
61,따땃하,2,거려,-1
62,대박,3,보풀,-3
63,애착,2,자국,-2
64,고급,3,질질,-2
65,합리,2,불매,-3
66,키키,2,흐늘거리,-1
67,낙낙,2,불량,-3
68,굿굿,3,실수,-2
69,쫀쫀하,2,문제,-3
70,조음,3,불편,-3
71,정착,3,지옥,-3
72,핏예뻐,3,뭔가,-1
73,입기죻음,3,조여,-1
74,완전,3,쫄려,-1
75,최애,3,약간,-1
76,오오,3,차라리,-1
77,완벽,3,애매,-2
78,최강,3,정전기,-3
79,만족,3,실밥,-2
80,군더더기,2,무거워,-2
81,이득,1,싸구려,-3
82,힙함,2,아픔,-3
83,안성맞춤,2,흐물거려,-1
84,덕분,1,조금,-1
85,제일,3,작고,-2
86,따숩,2,반품,-3
87,낭낭,2,무리,-2
88,편안함,2,펑퍼짐,-2
89,평상시,1,교환,-3
90,통과,1,시발,-3
91,평생,1,살짝,-1
92,휘뚜루,3,어벙벙,-1
93,매번,3,흐물,-1
94,좋아욤,3,유의,-2
95,찬양,3,어찌,-1
96,두툼해,3,이뻣을텐데,-1
97,젛습니,3,허름,-1
98,사랑,3,흐물거림,-1
99,유니크,1,지경,-1
100,두루,2,헐렁거려,-1
101,쵝오,3,아쉬움,-2
102,끝판,3,그닥,-1
103,여윽시,3,,
104,널널,2,,
105,핏이쁘,3,,
106,나이스,3,,
107,두툼,3,,
108,정석,2,,
109,또살,3,,
110,만족도,3,,
111,하하,2,,
112,진리,2,,
113,무난,1,,
114,포스,1,,
115,내내,1,,
116,깡패,2,,
117,선호,2,,
118,탄탄,2,,
119,쫀쫀해,2,,
120,굿굿굿,3,,
121,괜춘해,2,,
122,사계절,1,,
123,역시,3,,
124,부들,3,,
125,짱짱맨,3,,
126,레전드,3,,
127,이제야,1,,
128,항상,3,,
129,마뚜루,3,,
130,괜춘,2,,
131,쫀쫀했으,2,,
132,혜자,3,,
133,적당,2,,
134,역대,3,,
135,개꿀,3,,
136,맘에듭니,3,,
137,인정,1,,
138,득템,3,,
139,손색,1,,
140,간지,3,,
141,베스트,3,,
142,핏이뻐,3,,
143,핏예쁘,3,,
144,최고,3,,
145,진짜,3,,
146,예쁜핏,3,,
147,최적,3,,
148,인생,3,,
149,만족감,3,,
150,입문,1,,
151,찰떡,3,,
152,젛아,3,,
153,여유,2,,
154,체고,3,,
155,무조건,2,,